val_image,train_image,similarity
02697afd-f9f1-424d-8f80-a60cd100ff8e.jpg_0.jpg,02697afd-f9f1-424d-8f80-a60cd100ff8e.jpg_0.jpg,1.0000
4615f339-00b9-4841-a6cb-da3ea82d0e6d.jpg_0.jpg,4615f339-00b9-4841-a6cb-da3ea82d0e6d.jpg_0.jpg,1.0000
4656f8a3-8fd7-435e-bfb1-fbeebe6c7ccd.jpg_1.jpg,4656f8a3-8fd7-435e-bfb1-fbeebe6c7ccd.jpg_1.jpg,1.0000
3359c160-ca8a-473c-b92a-4c9c0c1d8f5a.jpg_1.jpg,3359c160-ca8a-473c-b92a-4c9c0c1d8f5a.jpg_1.jpg,1.0000
3055f820-c3b5-4062-b2e4-e031e4cccee0.jpg_1.jpg,3055f820-c3b5-4062-b2e4-e031e4cccee0.jpg_1.jpg,1.0000
3005c995-f2f3-4153-813c-d559392c11ef.jpg_0.jpg,3005c995-f2f3-4153-813c-d559392c11ef.jpg_0.jpg,1.0000
3548b4fc-7857-43f1-a823-d94dc4991f53.jpg_0.jpg,3548b4fc-7857-43f1-a823-d94dc4991f53.jpg_0.jpg,1.0000
4237fb64-e806-478f-ba4d-970a5ea23027.jpg_0.jpg,4237fb64-e806-478f-ba4d-970a5ea23027.jpg_0.jpg,1.0000
2487ef02-f270-4ca3-9213-e457f89e573e.jpg_0.jpg,2487ef02-f270-4ca3-9213-e457f89e573e.jpg_0.jpg,1.0000
2938d159-6560-4a3a-a357-f6237dcad2e9.jpg_0.jpg,2938d159-6560-4a3a-a357-f6237dcad2e9.jpg_0.jpg,1.0000
4574a43e-822c-4789-8e08-eec8e3d0ed8c.jpg_0.jpg,4574a43e-822c-4789-8e08-eec8e3d0ed8c.jpg_0.jpg,1.0000
2497ac6e-98b0-498a-9065-4b68d6aae972.jpg_0.jpg,2497ac6e-98b0-498a-9065-4b68d6aae972.jpg_0.jpg,1.0000
04278e6a-bada-4e87-92fd-8cd159e239e7.jpg_0.jpg,04278e6a-bada-4e87-92fd-8cd159e239e7.jpg_0.jpg,1.0000
203a1c48-6304-45a9-8742-1beca02e34d9.jpg_0.jpg,11712090-d28e-4c51-8291-81ab2b5f7058.jpg_0.jpg,0.9919
301ca78f-eac9-4333-910a-03a7fbb5aeed.jpg_0.jpg,c037f892-160d-4de8-a5ce-e1b629ddcb72.jpg_0.jpg,0.9885
3359c160-ca8a-473c-b92a-4c9c0c1d8f5a.jpg_1.jpg,9b995159-8a88-4237-aa3e-cc3d2678f4ac.jpg_1.jpg,0.9883
c73e8641-239f-49b4-b681-f1a24fa3ef3d.jpg_0.jpg,154abcd3-1f34-4498-9c67-4ea2ea9af1ed.jpg_1.jpg,0.9875
f8e68725-05f5-4a17-af0a-6095a83817f1.jpg_0.jpg,b7654773-0b51-438c-ab5d-9bf8892099ae.jpg_0.jpg,0.9868
0e0395af-5239-42c8-9a3b-0c303c44dfe4.jpg_1.jpg,5dd9bbea-2c71-4ba9-b61d-2988ce698a0e.jpg_1.jpg,0.9861
01953ea0-c56a-4341-82bb-b8a21a2eb544.jpg_0.jpg,755b5f36-de2f-4a92-9ccf-7b94fa1472c5.jpg_0.jpg,0.9856
