base_name,original_filename,img_h,img_w,ssim_whole,ssim_edit_region,edit_region_pct,ssim_level,ssim_tier
000a9251-d10b-4dc5-80ba-0d79fa2f0328_0,000a9251-d10b-4dc5-80ba-0d79fa2f0328.jpg_0.jpg,512,415,0.9963,0.97183,10.33,⚠️  MILD,mild
000b47e1-70cf-4093-b925-23cdfd6d2d5c_0,000b47e1-70cf-4093-b925-23cdfd6d2d5c_0.jpg,512,386,0.99435,0.93793,8.43,⚠️  MILD,mild
00155c5d-d32a-4327-b69b-b5f93cece042_0,00155c5d-d32a-4327-b69b-b5f93cece042_0.jpg,512,405,0.99522,0.94851,8.5,⚠️  MILD,mild
002c0d39-1a4e-4ad9-8185-21efbf5a71ba_0,002c0d39-1a4e-4ad9-8185-21efbf5a71ba_0.jpg,512,353,0.99536,0.95804,10.11,⚠️  MILD,mild
00311a61-a8e9-4f4c-9785-4a9b47a19ba1_0,00311a61-a8e9-4f4c-9785-4a9b47a19ba1.jpg_0.jpg,512,412,0.99464,0.91815,5.47,🔶 MODERATE,moderate
003be1cf-8639-40c2-b11f-bd959945bb41_1,003be1cf-8639-40c2-b11f-bd959945bb41_1.jpg,512,388,0.98957,0.90896,10.88,🔶 MODERATE,moderate
003d539d-9e13-403e-a2bb-bcafaf8483df_0,003d539d-9e13-403e-a2bb-bcafaf8483df.jpg_0.jpg,512,375,0.9919,0.91095,8.17,🔶 MODERATE,moderate
004494,004494.jpg,512,512,0.99177,0.93237,10.05,⚠️  MILD,mild
004496,004496.jpg,512,512,0.98676,0.89534,10.79,🔶 MODERATE,moderate
004499,004499.jpg,512,512,0.99481,0.97203,12.37,⚠️  MILD,mild
004501,004501.jpg,512,512,0.9869,0.91267,12.54,🔶 MODERATE,moderate
004503,004503.jpg,512,512,0.99523,0.95945,9.87,⚠️  MILD,mild
004504,004504.jpg,512,512,0.99605,0.9631,8.46,⚠️  MILD,mild
004505,004505.jpg,512,512,0.99672,0.97711,10.7,⚠️  MILD,mild
004506,004506.jpg,512,512,0.99127,0.93857,11.63,⚠️  MILD,mild
004508,004508.jpg,512,512,0.99312,0.94532,9.87,⚠️  MILD,mild
004511,004511.jpg,512,512,0.99719,0.97521,7.27,⚠️  MILD,mild
004512,004512.jpg,512,512,0.9967,0.97302,8.98,⚠️  MILD,mild
004514,004514.jpg,512,512,0.99334,0.94026,9.5,⚠️  MILD,mild
004515,004515.jpg,512,512,0.98912,0.91457,10.74,🔶 MODERATE,moderate
004516,004516.jpg,512,512,0.9969,0.97789,9.78,⚠️  MILD,mild
004518,004518.jpg,512,512,0.99549,0.96776,10.9,⚠️  MILD,mild
004520,004520.jpg,512,512,0.99595,0.962,8.33,⚠️  MILD,mild
004521,004521.jpg,512,512,0.99511,0.95698,9.46,⚠️  MILD,mild
004522,004522.jpg,512,512,0.99694,0.97434,9.41,⚠️  MILD,mild
004525,004525.jpg,512,512,0.99357,0.95066,10.97,⚠️  MILD,mild
004527,004527.jpg,512,512,0.99748,0.98208,8.47,✅ NEGLIGIBLE,negligible
004528,004528.jpg,512,512,0.99454,0.95687,10.66,⚠️  MILD,mild
004534,004534.jpg,512,512,0.99337,0.93837,9.21,⚠️  MILD,mild
004535,004535.jpg,512,512,0.99509,0.95868,9.44,⚠️  MILD,mild
004538,004538.jpg,512,512,0.98866,0.90305,9.77,🔶 MODERATE,moderate
004540,004540.jpg,512,512,0.991,0.94744,14.94,⚠️  MILD,mild
004541,004541.jpg,512,512,0.98779,0.91079,11.36,🔶 MODERATE,moderate
004542,004542.jpg,512,512,0.99444,0.95374,9.97,⚠️  MILD,mild
004543,004543.jpg,512,512,0.99579,0.96383,9.37,⚠️  MILD,mild
004545,004545.jpg,512,512,0.99783,0.98262,8.39,✅ NEGLIGIBLE,negligible
004547,004547.jpg,512,512,0.99544,0.96426,10.83,⚠️  MILD,mild
004549,004549.jpg,512,512,0.9929,0.94252,9.2,⚠️  MILD,mild
004550,004550.jpg,512,512,0.99001,0.91641,10.85,🔶 MODERATE,moderate
004551,004551.jpg,512,512,0.99412,0.95755,11.33,⚠️  MILD,mild
004552,004552.jpg,512,512,0.99172,0.93186,10.31,⚠️  MILD,mild
004553,004553.jpg,512,512,0.99496,0.95471,9.22,⚠️  MILD,mild
